TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE
os_follow_up	idx_fu_contract_reminder	contract_id	1
os_follow_up	idx_fu_contract_reminder	reminder	1
os_follow_up	PRIMARY	id	0
os_follow_up_connection_reports	id	id	1
os_follow_up_connection_reports	idx-followup_conn-followup	os_follow_up_id	1
os_follow_up_connection_reports	PRIMARY	id	0
os_follow_up_tasks	idx_task_assigned	assigned_to	1
os_follow_up_tasks	idx_task_contract	contract_id	1
os_follow_up_tasks	idx_task_due	due_date	1
os_follow_up_tasks	idx_task_stage	stage	1
os_follow_up_tasks	idx_task_status	status	1
os_follow_up_tasks	PRIMARY	id	0
os_gallery_image	PRIMARY	id	0
os_hear_about_us	PRIMARY	id	0
os_hr_annual_increment	idx_inc_effective	effective_date	1
os_hr_annual_increment	idx_inc_status	status	1
os_hr_annual_increment	idx_inc_user	user_id	1
os_hr_annual_increment	PRIMARY	id	0
os_hr_attendance	idx_date	attendance_date	1
os_hr_attendance	idx_status	status	1
os_hr_attendance	PRIMARY	id	0
os_hr_attendance	uk_user_date	user_id	0
os_hr_attendance	uk_user_date	attendance_date	0
os_hr_attendance_log	idx_al_company_date	company_id	1
os_hr_attendance_log	idx_al_company_date	attendance_date	1
os_hr_attendance_log	idx_al_user_date	user_id	1
os_hr_attendance_log	idx_al_user_date	attendance_date	1
os_hr_attendance_log	PRIMARY	id	0
os_hr_attendance_log	uk_al_user_date	user_id	0
os_hr_attendance_log	uk_al_user_date	attendance_date	0
os_hr_audit_log	idx_entity	entity_type	1
os_hr_audit_log	idx_entity	entity_id	1
os_hr_audit_log	idx_user_id	user_id	1
os_hr_audit_log	PRIMARY	id	0
os_hr_disciplinary	idx_user_id	user_id	1
os_hr_disciplinary	PRIMARY	id	0
os_hr_emergency_contact	idx_user_id	user_id	1
os_hr_emergency_contact	PRIMARY	id	0
os_hr_employee_document	idx_expiry	expiry_date	1
os_hr_employee_document	idx_user_id	user_id	1
os_hr_employee_document	PRIMARY	id	0
os_hr_employee_extended	idx_employee_code	employee_code	1
